City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Coahuayana,32,MX,1547357177,82,18.62,-100.35,58.07,2.57
Ngorongoro,20,TZ,1547357548,46,-3.24,35.49,67.88,5.14
Zhigansk,32,RU,1547357132,49,66.77,123.37,-16.54,9.78
Ambilobe,44,MG,1547356615,100,-13.19,49.05,80.03,5.3
Venice,1,US,1547356500,93,27.1,-82.45,62.6,3.36
Konstantinovka,44,MD,1547357549,91,47.99,28.86,15.05,5.53
Sohag,92,EG,1547355600,18,26.55,31.7,59.0,10.29
Prince Rupert,90,CA,1547355600,100,54.32,-130.32,42.8,2.24
Norman Wells,40,CA,1547353860,66,65.28,-126.83,-31.01,4.7
Pinawa,88,CA,1547357550,84,50.15,-95.88,17.03,11.63
Hasaki,20,JP,1547355600,43,35.73,140.83,50.0,11.41
Bereda,0,ES,1547355600,75,43.27,-7.54,46.4,1.12
Saint-Georges,0,CA,1547357550,77,46.12,-70.67,-0.88,4.63
Sztum,75,PL,1547355600,93,53.92,19.03,37.4,10.29
Shahreza,36,IR,1547357551,35,32.01,51.87,40.52,4.03
Wadi Musa,20,JO,1547355000,58,30.32,35.48,59.0,12.75
Belfast,92,GB,1547355000,87,54.6,-5.93,50.0,18.34
Broome,68,GB,1547355360,81,52.47,1.45,51.8,21.92
Shieli,8,KZ,1547357551,73,44.18,66.74,22.07,6.04
Oistins,20,BB,1547355600,73,13.07,-59.53,75.2,8.05
Sovetskaya Gavan,0,RU,1547357165,94,48.97,140.29,16.22,6.38
Rovaniemi,0,FI,1547355000,85,66.5,25.72,15.8,8.05
Inirida,48,CO,1547357398,98,3.87,-67.92,73.64,2.06
Bosaso,0,SO,1547355600,69,11.28,49.18,75.2,6.42
Fort Nelson,75,CA,1547355600,77,58.81,-122.69,-2.21,9.17
Shipley,75,GB,1547355000,93,53.83,-1.78,50.0,25.28
Iskateley,76,RU,1547357201,80,67.68,53.15,15.05,17.83
Pokhara,0,NP,1547357553,51,28.21,83.99,56.72,2.73
Scarborough,88,GB,1547355000,81,54.28,-0.41,50.0,23.04
Coolum Beach,44,AU,1547357553,78,-26.53,153.09,79.13,9.89
Bereznik,88,RU,1547357554,88,62.86,42.71,23.6,7.16
Moa,36,CU,1547357554,86,20.66,-74.95,69.14,4.74
Sao Gabriel da Cachoeira,48,BR,1547357554,89,-0.13,-67.09,75.89,2.51
Yaan,8,NG,1547357554,82,7.38,8.57,66.35,7.27
Nan,0,TH,1547355600,51,18.78,100.78,84.2,1.12
Dogondoutchi,0,NE,1547357555,41,13.64,4.03,59.96,10.67
Moree,24,AU,1547355600,17,-29.46,149.84,100.4,12.75
San Quintin,0,PH,1547356934,56,17.54,120.52,83.18,3.62
Benghazi,24,LY,1547356946,100,32.12,20.07,59.87,31.21
Russell,75,AR,1547355600,77,-33.01,-68.8,66.2,6.93
Ust-Tsilma,88,RU,1547356902,74,65.44,52.15,16.67,8.61
Liberal,90,US,1547355360,92,37.04,-100.92,32.0,8.05
The Pas,90,CA,1547355600,85,53.82,-101.24,19.4,6.93
Meulaboh,32,ID,1547356811,100,4.14,96.13,82.91,2.8
Kitimat,75,CA,1547355600,93,54.02,-128.69,35.6,12.75
Barcelos,0,PT,1547355600,80,41.53,-8.62,39.2,2.24
Verkhoyansk,8,RU,1547357287,0,67.55,133.39,-52.72,2.57
Challans,90,FR,1547355600,87,46.85,-1.88,48.2,8.05
Bosobolo,12,CD,1547357557,86,4.19,19.88,70.67,8.32
Tondano,40,ID,1547355600,66,1.3,124.91,86.0,6.93
Sebeta,0,ET,1547355600,34,8.91,38.62,51.8,2.24
Faya,0,SA,1547355600,58,18.39,42.45,57.2,6.93
Vestmanna,92,FO,1547355000,93,62.16,-7.17,39.2,14.99
Corpus Christi,1,US,1547356500,62,27.8,-97.4,60.08,11.41
Aras,0,YE,1547357559,33,14.28,44.38,54.02,2.73
Zhongxing,0,CN,1547357559,82,32.02,116.14,49.43,5.08
Tiznit,0,MA,1547357559,84,29.7,-9.73,45.65,6.42
Saint-Michel-des-Saints,32,CA,1547357560,81,46.68,-73.92,-5.38,4.81
Srednekolymsk,76,RU,1547356921,65,67.46,153.71,-22.12,4.14
Bouna,24,CI,1547357560,41,9.27,-3.0,66.35,6.38
Gamba,0,CN,1547357259,62,28.28,88.52,18.38,8.84
San Rafael,64,AR,1547357561,78,-34.61,-68.33,58.7,4.07
Osoyoos,90,CA,1547356980,77,49.03,-119.47,33.8,3.36
Vila Franca do Campo,75,PT,1547353800,72,37.72,-25.43,59.0,12.75
Zlotow,75,PL,1547355600,100,53.36,17.04,39.2,11.41
Tatarsk,64,RU,1547357562,76,55.22,75.96,0.02,13.69
Oriximina,44,BR,1547356963,99,-1.77,-55.87,74.0,2.39
Merritt Island,1,US,1547356560,93,28.54,-80.67,64.04,11.9
Waipawa,92,NZ,1547357562,96,-39.94,176.59,64.19,2.57
Gbadolite,12,CD,1547357562,86,4.28,21.0,73.82,3.29
Streator,90,US,1547356500,92,41.12,-88.84,29.84,10.29
Huanren,0,CN,1547357563,49,41.26,125.37,35.3,3.06
Bud,90,NO,1547355000,93,62.91,6.91,41.0,13.87
Ucluelet,92,CA,1547357563,93,48.94,-125.55,45.11,1.72
Donskoye,90,RU,1547355600,98,45.45,41.98,32.0,6.71
Arraias,56,BR,1547357564,82,-12.93,-46.94,70.13,3.91
Ballina,92,IE,1547357564,94,54.11,-9.15,48.98,19.69
Potchefstroom,0,ZA,1547357564,68,-26.71,27.1,72.92,7.61
Ranau,75,MY,1547355600,62,5.95,116.67,89.6,5.82
Sorland,76,NO,1547356183,100,67.67,12.69,34.22,19.06
Coos Bay,1,US,1547355360,100,43.37,-124.22,46.94,4.7
Tessalit,12,ML,1547356930,39,20.2,1.01,38.63,7.76
Burnie,0,AU,1547357006,96,-41.05,145.91,65.27,10.85
Birin,0,SY,1547357565,93,35.01,36.67,31.97,2.84
Royken,92,NO,1547355000,92,59.75,10.39,30.2,3.36
Inhambane,40,MZ,1547352000,94,-23.87,35.38,82.4,6.31
Suna,0,KE,1547357566,75,-1.08,34.43,68.87,5.03
Nueva Loja,92,EC,1547357566,100,0.08,-76.88,69.77,2.51
Aripuana,68,BR,1547357535,94,-9.17,-60.63,74.63,2.06
Xuddur,0,SO,1547357310,62,4.12,43.89,72.56,15.93
Sioux Lookout,90,CA,1547355600,92,50.1,-91.92,17.6,8.05
Gizo,0,IL,1547356800,50,31.8,34.94,57.2,17.22
Puerto Montt,0,CL,1547355600,87,-41.47,-72.94,48.2,5.82
Ternate,75,PH,1547355600,55,14.29,120.72,87.8,13.87
Ozinki,36,RU,1547357567,86,51.2,49.73,15.23,8.88
Ahipara,8,NZ,1547356932,76,-35.17,173.16,70.31,9.89
Lavrentiya,0,RU,1547356852,89,65.58,-170.99,-10.33,30.13
Montbrison,92,FR,1547355600,93,45.61,4.07,39.2,5.82
Kaseda,75,JP,1547355600,54,31.42,130.32,53.6,9.17
Kilindoni,92,TZ,1547357568,99,-7.91,39.67,83.36,14.14
Atasu,8,KZ,1547357301,84,48.68,71.64,8.48,8.05
Muravlenko,68,RU,1547357569,77,63.79,74.5,-0.61,19.95
Olinda,75,EC,1547352000,78,-2.03,-79.75,78.8,10.29
Plettenberg Bay,0,ZA,1547357569,95,-34.05,23.37,67.34,4.07
Kanigoro,48,ID,1547357569,90,-8.13,112.22,83.72,10.67
Gainesville,90,US,1547356500,87,29.65,-82.33,64.04,3.36
Mackenzie,75,CA,1547355600,86,55.34,-123.09,33.8,3.36
Orocue,44,CO,1547357570,51,4.79,-71.34,84.08,13.35
Maniitsoq,68,GL,1547357570,100,65.42,-52.9,8.84,5.86
Jiaohe,12,CN,1547357570,57,43.72,127.34,32.78,3.58
Diamantino,0,BR,1547357571,91,-14.4,-56.44,69.68,2.57
Lewiston,1,US,1547355180,75,46.42,-117.02,33.98,6.93
Ypsonas,20,CY,1547355600,71,34.69,32.96,55.4,17.22
Mount Gambier,0,AU,1547355600,47,-37.83,140.78,77.0,18.34
Phon,0,TH,1547357571,40,15.81,102.61,92.0,7.65
The Valley,20,AI,1547355600,83,18.22,-63.06,75.2,6.93
Sulangan,56,PH,1547357572,98,11.14,123.72,80.66,15.32
Manggar,76,ID,1547357572,99,-2.88,108.27,82.1,7.83
Te Anau,80,NZ,1547356880,54,-45.41,167.72,57.26,5.75
Dicabisagan,48,PH,1547356645,100,17.08,122.42,74.45,8.32
Ornskoldsvik,80,SE,1547355000,92,63.29,18.72,12.2,3.36
Bressanone,90,IT,1547356800,71,46.72,11.66,32.0,1.12
Henties Bay,68,NA,1547356856,100,-22.12,14.28,61.13,3.06
Noumea,75,NC,1547355600,70,-22.28,166.46,84.2,24.16
Shenjiamen,48,CN,1547357207,100,29.96,122.3,48.08,15.32
Oyama,20,JP,1547355600,29,36.31,139.8,50.0,5.82
Namwala,76,ZM,1547356972,100,-15.75,26.45,68.33,4.52
Farafangana,68,MG,1547357574,100,-22.82,47.83,78.95,8.16
Viedma,0,AR,1547356927,63,-40.81,-62.99,62.75,10.18
Kut Chap,0,TH,1547355600,45,17.43,102.57,87.8,5.82
Harper,1,US,1547355300,82,30.3,-99.24,38.48,3.36
Vila Verde,75,BR,1547355600,78,-23.73,-46.57,71.6,2.24
Alyangula,75,AU,1547355600,100,-13.85,136.42,77.0,10.29
Coari,44,BR,1547357575,91,-4.09,-63.14,76.7,4.03
Marsa Matruh,20,EG,1547355600,87,31.35,27.25,46.4,18.34
Najran,0,SA,1547355600,46,17.54,44.22,53.6,4.7
Shaunavon,0,CA,1547357575,66,49.65,-108.41,15.95,2.84
Tilichiki,0,RU,1547357190,47,60.47,166.1,-16.36,2.91
Wasilla,75,US,1547355360,87,61.58,-149.44,17.06,2.35
Sar-e Pul,8,AF,1547357576,58,36.22,65.93,30.62,3.51
Evensk,0,RU,1547356929,100,61.92,159.24,1.55,8.77
Copiapo,0,CL,1547355600,82,-27.37,-70.33,60.8,4.7
Minab,0,IR,1547355600,19,27.15,57.07,66.2,2.24
Callaway,90,US,1547356560,90,46.98,-95.91,26.6,4.7
Banda Aceh,76,ID,1547356726,71,5.56,95.32,84.26,6.93
Luancheng,0,CN,1547355600,23,37.88,114.65,33.8,4.47
Oranjemund,92,ZA,1547356850,92,-28.55,16.43,65.18,7.43
Turukhansk,76,RU,1547356964,51,65.8,87.96,-17.35,21.74
Kailua,1,US,1547355780,86,21.39,-157.74,78.08,4.7
Sibu,75,MY,1547355600,74,2.29,111.83,86.0,2.24
Estevan,1,CA,1547355600,84,49.14,-102.99,14.0,4.7
Yelizovo,24,RU,1547355600,50,53.19,158.38,28.4,4.47
Luderitz,8,NA,1547356907,90,-26.65,15.16,61.67,3.58
Nsanje,48,MZ,1547357579,80,-16.92,35.26,82.1,3.8
Sao Felix do Xingu,80,BR,1547356865,100,-6.64,-51.99,70.4,1.5
Upata,0,VE,1547357579,80,8.02,-62.41,69.68,7.05
Pitimbu,0,BR,1547355600,100,-7.47,-34.81,73.4,6.93
Porto Novo,20,BR,1547355600,100,-23.68,-45.44,69.8,2.24
Nioro,8,GM,1547357580,55,13.79,-15.05,62.12,5.41
Arman,20,RU,1547356895,71,59.7,150.17,-2.68,3.85
